"Story","Title","Result","Date","Stability","Duration (s)"
"Register","POST - Register with existed account","FAILURE","2023-05-29T14:58:23.8912064+07:00[Asia/Jakarta]","0.0","1.37"
"Login","POST - Login with valid credential","FAILURE","2023-05-29T14:58:26.5670421+07:00[Asia/Jakarta]","0.0","1.03"
"User Information","GET - Get user information","FAILURE","2023-05-29T14:58:31.5876728+07:00[Asia/Jakarta]","0.0","2.18"
"Product","GET - Get all product","FAILURE","2023-05-29T14:58:45.5230005+07:00[Asia/Jakarta]","0.0","0.56"
"Order","POST - Add new orders","FAILURE","2023-05-29T14:58:46.6896463+07:00[Asia/Jakarta]","0.0","0.49"
"Order","GET - Get all order","FAILURE","2023-05-29T14:58:47.2787229+07:00[Asia/Jakarta]","0.0","0.67"
"Rating","POST - Give product rating","FAILURE","2023-05-29T14:58:48.5328795+07:00[Asia/Jakarta]","0.0","0.82"
"Rating","POST - Give product rating out of bond","FAILURE","2023-05-29T14:58:49.4624964+07:00[Asia/Jakarta]","0.0","0.56"
"Comment","POST - Post comment","FAILURE","2023-05-29T14:58:51.4410182+07:00[Asia/Jakarta]","0.0","0.47"
